CellId,Nuclear Volume [fL],Cellular Volume [fL],Nuclear Surface Area [um^2],Cellular Surface Area [um^2],Radial Proximity [unitless],Apical Proximity [unitless]
146547,806.373507,1924.096988,443.2911,1143.4236,0.295930707616956,-0.0840826742845399
146548,920.367693,2374.342317,478.6131,1362.6723,0.189705146014492,-0.140081092557103
146550,560.068996,1463.120499,300.9939,730.9131,0.531037320192103,-0.15498460214489
146551,675.526522,2019.018976,352.379,1231.9809,0.497338092483601,-0.299884938683131
146553,265.376709,1828.93111,189.9819,809.3784,0.831341460211107,-0.165002478401567
146554,961.219268,2235.666463,517.8037,1296.0651,0.180161204038456,0.049881101615223
146563,710.475959,2313.05276,412.3423,1253.09,0.499073084504421,0.00943925539914869
146566,659.917562,2044.28598,370.2923,1059.66,0.529719945598569,0.0530922958903104
146571,841.957058,2615.988529,399.1386,1077.5733,0.670080074572114,0.187123502636575
146574,515.363959,1754.471493,290.3132,920.9791,0.77458897628451,0.0272180868228444
146577,662.941798,2140.62253,328.9992,995.9963,0.666887743464716,0.193594454585997
146584,591.67714,1832.857739,305.4512,954.7873,0.749524635060071,-0.172184299932948
146587,512.559224,1744.593948,287.3697,940.7426,0.694143115110911,-0.103228569618182
146589,506.266862,1747.642573,299.4801,913.5783,0.674891008603717,0.0243348005853692
146592,442.757906,1773.81197,266.0924,937.8832,0.69473625209581,0.109312427064618
146595,482.243697,1568.895592,286.8651,926.1933,0.648353316863676,-0.258684515483718
146598,732.15778,2288.078424,413.9402,1167.2239,0.555933008704617,-0.108976146554674
146600,364.249715,1467.534908,222.6968,737.557,0.745010968739343,0.0843571246077575
146601,748.864245,2371.488804,380.132,1084.3854,0.575140806441104,-0.117353735438576
146605,986.071659,2704.49621,466.2504,1344.9272,0.478754277223335,-0.188780145226932
146606,653.039864,2123.842898,322.1871,1177.3159,0.682310415239095,-0.119514962952815
146607,624.260844,1833.540631,314.9545,1009.5364,0.674973558530709,-0.0685158701638696
146608,778.472491,2158.792335,408.8942,1218.3567,0.378695230895221,-0.0526207839339203
146612,486.901996,1494.948144,255.664,831.3285,0.714547556866756,-0.319187351953493
146613,520.339315,1820.516905,281.4827,834.1038,0.633390996846583,-0.140047637240816
146615,539.704181,1459.096314,295.3592,771.6175,0.614406388959502,-0.143208877851224
146618,352.17716,1170.281776,233.5457,631.9274,0.673587578449002,0.120108605475093
146619,580.21431,1585.504501,332.4473,891.2918,0.644939124287085,-0.0906575704016551
146638,678.160534,2204.472932,356.6681,1166.467,0.716908079575018,0.117264992321017
